t	1_myPID 60 10 30 no cutoff	t	1_ROSpid 60 10 30	t	2_myPID 60 10 30 and Ka 10	t	3_my PID 60 15 30 10	t	3_ROSpid 60 15 30	.																series
0	-47	0.0247	-5.00E+01	0.0315	-53	0	-53	0	-53																	1
0.094	-39	0.173	-4.00E+01	0.126	-50	0.042	-50	0.153	-49																	2
0.12	-36	0.247	-4.00E+01	0.22	-43	0.34	-40	0.214	-44																	3
0.19	-30	0.321	-3.00E+01	0.346	-31	0.38	-38	0.276	-38																	4
0.28	-22	0.42	-3.00E+01	0.441	-25	0.5	-29	0.337	-29																	5
0.37	-14	0.469	-2.00E+01	0.535	-19	0.59	-22	0.429	-22																	6
0.56	-6.4	0.543	-2.00E+01	0.661	-18	0.67	-19	0.49	-16																	7
0.78	-8.2	0.692	-1.00E+01	0.85	-13	1	-12	0.704	-5.9																	8
0.91	-7.3	0.889	-1.00E+01	0.945	-7.4	1.2	-5.9	0.827	-1.5																	9
1.1	0.24	0.988	-5	1.1	-1.5	1.4	-1.10E-13	0.98	2.9																	10
1.3	7.8	1.06	-0.9	1.2	4.4	1.6	8.8	1.26E+00	8.80E+00																	11
1.4	9.6	1.16	4	1.45	12	1.8	18	1.44	10																	12
1.5	11	1.28	2	1.61	12	2	21	1.59	15																	13
1.6	9.6	1.46	0	1.8	12	2.3	18	1.78	16																	14
1.7	6.8	1.65	3	2.02	15	2.6	18	1.9	18																	15
1.9	6.8	1.83	4	2.27	15	2.8	18	2.05	16																	16
2	9.6	2.07	8	2.46	13	3.1	18	2.17	16																	17
2.1	13	2.32	9	2.65	18	3.1	18	2.39	19																	18
2.2	15	2.45	1.00E+01	2.87	21	3.6	16	2.51	21																	19
2.4	15	2.72	1.00E+01	2.96	19	3.9	16	2.7	19																	20
2.5	13	2.91	1.00E+01	3.12	16	4.3	13	2.82	18																	21
2.6	12	3.09	1.00E+01	3.37	16	4.6	13	3	16																	22
2.7	11	3.21	9	3.43	16	5	12	3.09	16																	23
2.8	12	3.43	1.00E+01	3.78	16	5	12	3.28	16																	24
3	14	3.61	1.00E+01	4	16	5.1	12	3.43	16																	25
3.1	14	3.8	1.00E+01	4.25	15	5.5	10	3.64	16																	26
3.2	13	3.98	1.00E+01	4.44	13	5.9	8.8	3.77	15																	27
3.4	9.6	4.12	1.00E+01	4.6	12	6.3	8.8	3.92	13																	28
3.5	8.7	4.3	1.00E+01	4.79	13	6.5	10	4.04	12																	29
3.6	7.8	4.47	1.00E+01	5.01	13	6.9	8.8	4.29	13																	30
3.8	12	4.72	1.00E+01	5.2	13	7.2	7.4	4.44	13																	31
4	12	4.87	1.00E+01	5.42	12	7.6	7.4	4.59	12																	32
4.3	8.7	4.96	9	5.57	12	7.9	5.9	4.69	10																	33
4.6	9.6	5.21	1.00E+01	5.86	12	8.2	2.9	4.81	8.8																	34
4.7	9.6	5.43	8	6.02	10	8.5	8.8	4.96	8.8																	35
4.9	9.6	5.61	5	6.33	8.8	8.8	10	5.05	10																	36
5.2	8.7	5.83	9	6.58	8.8	9.1	5.9	5.14	10																	37
5.4	12	6.05	8	6.77	7.4	9.4	5.9	5.27	10																	38
5.5	12	6.27	8	6.93	5.9	9.8	5.9	5.39	10																	39
5.8	12	6.45	9	7.24	5.9	10	4.4	5.51	8.8																	40
6	12	6.59	7	7.53	4.4	11	4.4	5.67	8.8																	41
6.3	11	6.77	5	7.78	5.9	11	4.4	5.79	12																	42
6.4	11	6.87	7	8.06	1.5	11	4.4	5.97	15																	43
6.4	11	7.11	8	8.25	2.9	12	2.9	6.13	13																	44
6.7	9.6	7.19	5	8.41	4.4	12	2.9	6.19	13																	45
7	8.7	7.36	0.9	8.69	5.9	12	1.5	6.34	10																	46
7.3	6.8	7.53	3	9.01	4.4	13	2.9	6.55	8.8																	47
7.5	4.9	7.71	5	9.23	5.9	13	4.4	6.71	8.8																	48
7.5	4.9	7.8	6	9.35	5.9	13	4.4	6.86	7.4																	49
7.8	4	8.05	5	9.61	5.9	14	4.4	7.04	4.4																	50
7.9	4	8.17	5	9.92	-1.10E-13	14	5.9	7.17	4.4																	51
8.2	4	8.35	7	10.1	-1.10E-13	14	7.4	7.32	4.4																	52
8.3	3.1	8.45	6	10.4	5.9	14	7.4	7.53	2.9																	53
8.6	0.24	8.59	3	10.6	4.4	15	5.9	7.66	1.5																	54
9	0.24	8.72	4	10.8	-1.10E-13	15	7.4	7.9	-1.5																	55
9.1	-0.71	8.92	7	11.1	-1.10E-13	15	4.4	7.99	0																	56
9.3	-1.6	9.11	6	11.4	2.9	15	2.9	8.08	0																	57
9.6	-2.6	9.29	6	11.6	-1.5	16	-1.5	8.27	0																	58
9.8	-1.6	9.43	9	11.7	5.9	16	-1.10E-13	8.42	0																	59
10	-1.6	9.56	8	11.9	7.4	16	1.5	8.51E+00	-4.40E+00																	60
10	1.2	9.71	6	12.1	8.8	17	1.5	8.67	-7.4																	61
10	3.1	9.88	4	12.3	7.4	17	2.9	8.79	-8.8																	62
11	0.24	10.1	5	12.5	7.4	17	-1.10E-13	9	-2.9																	63
11	-2.6	10.2	5	12.7	5.9	18	1.5	9.10E+00	-2.90E+00																	64
11	-4.5	10.4	7	12.8	5.9	18	4.4	9.25	-8.8																	65
11	-1.6	10.6	7	12.9	5.9	18	4.4	9.34	-10																	66
12	-0.71	10.7	4	13.1	-1.10E-13	18	-1.10E-13	9.52	-7.4																	67
12	-0.71	10.9	3	13.3	8.8	19	-1.10E-13	9.65E+00	-1.50E+00																	68
12	-0.71	11.1	3	13.4	8.8	19	1.5	9.83E+00	2.90E+00																	69
12	-0.71	11.3	0	13.7	8.8	19	2.9	9.95	2.9																	70
12	-1.6	11.5	-0.9	13.9	4.4	19	-1.10E-13	10.1	-1.5																	71
12	-1.6	11.6	3	14	2.9	19	-1.5	1.02E+01	-5.90E+00																	72
13	-0.71	11.9	-0.9	14.1	7.4	20	-1.5	10.3	-7.4																	73
13	0.24	12	-4	14.4	10	20	-1.5	10.5	-1.5																	74
13	-3.5	12.2	-0.9	14.7	7.4	20	-1.10E-13	10.7	0																	75
13	-3.5	12.4	-5	14.8	5.9	20	-4.4	1.08E+01	2.90E+00																	76
14	-1.6	12.7	-0.9	15	4.4	21	-5.9	10.9	1.5																	77
14	0.24	12.9	-0.9	15.2	4.4	21	-2.9	11.1	0																	78
14	1.2	13	-0.9	15.4	2.9	21	-2.9	11.2	2.9																	79
14	1.2	13.2	-0.9	15.7	-1.10E-13	21	-2.9	11.3	5.9																	80
15	0.24	13.4	-2	15.9	-1.10E-13	22	-2.9	11.4	8.8																	81
15	-2.6	13.6	2	16.2	-1.10E-13	22	-2.9	11.6	7.4																	82
15	-4.5	13.7	0.9	16.5	-4.4	22	1.5	11.7	4.4																	83
15	-2.6	13.9	-3	16.5	-4.4	22	1.5	11.9	7.4																	84
16	-0.71	14.1	-0.9	16.8	-2.9	22	-1.10E-13	12	10																	85
16	0.24	14.3	-0.9	17.1	-7.4	22	-4.4	1.21E+01	1.00E+01																	86
16	-0.71	14.5	-6	17.3	-8.8	23	-7.4	12.2	10																	87
16	0.24	14.7	-3	17.5	-5.9	23	-10	12.3	7.4																	88
16	0.24	14.9	-5	17.5	-5.9	23	-13	12.4	4.4																	89
17	-3.5	15.1	-8	17.9	-7.4	23	-8.8	12.5	2.9																	90
17	-1.6	15.2	-5	18.2	-5.9	23	-2.9	12.6	2.9																	91
17	-1.6	15.4	-5	18.4	-2.9	23	-1.10E-13	12.7	5.9																	92
18	-4.5	15.6	-5	18.5	-4.4	24	-1.10E-13	1.29E+01	7.40E+00																	93
18	-1.6	15.8	-3	18.7	-7.4	24	-1.5	1.30E+01	4.40E+00																	94
18	0.24	16	-2	19	-10	24	-2.9	13.1	2.9																	95
